#Optimization obtained via Optimization of the purity of the resulting channel
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
330 0.044306 0.999926 0.999998 0.944897 1.385880 1.386282 1.256359 

337 0.044306 0.999861 0.999997 0.935490 1.385561 1.386271 1.239637 

336 0.044306 0.999877 0.999969 0.958163 1.385634 1.386110 1.282787 

334 0.044306 0.999868 0.999996 0.875457 1.385591 1.386265 1.133078 

338 0.044306 0.999907 0.999987 0.913960 1.385786 1.386207 1.202405 

323 0.044306 0.999813 0.999993 0.934588 1.385332 1.386250 1.237444 

325 0.044306 0.999723 0.999999 0.927265 1.384927 1.386288 1.223952 

322 0.044306 0.999909 0.999998 0.955883 1.385792 1.386278 1.278346 

327 0.044306 0.999751 0.999973 0.910267 1.385050 1.386129 1.194954 

339 0.044306 0.999748 0.999999 0.945032 1.385037 1.386285 1.257380 

340 0.044306 0.999921 0.999993 0.927462 1.385854 1.386250 1.225174 

348 0.048626 0.999866 0.999981 0.927013 1.385584 1.386177 1.224777 

345 0.048626 0.999714 0.999998 0.921521 1.384886 1.386282 1.214800 

351 0.048626 0.999681 0.999990 0.901612 1.384739 1.386227 1.177401 

